,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,argo-cd,
12,argo-rollouts,
13,async-datastore-client,Java
14,async-google-pubsub-client,Java
15,backup-utils,Shell
16,basic-pitch,Python
17,basic-pitch-ts,TypeScript
18,batty,Python
19,bazel,
20,bazel-tools,Java
21,beam,Java
22,big-data-rosetta-code,Scala
23,bigtable-autoscaler,Java
24,boilerplate-app,
25,bucket-runner,JavaScript
26,cartography,Python
27,cassandra-extra,Java
28,cassandra-medusa,Python
29,cassandra-opstools,Java
30,cassandra-reaper,
31,causify,
32,certcheck,Python
33,chartify,Python
34,code-of-conduct,
35,collectd,C
36,comet,Python
37,comet-common,Python
38,comet-core,Python
39,completable-futures,Java
40,condor,Java
41,confidence,Python
42,confidence-resolver-rust,Rust
43,confidence-sdk-android,Kotlin
44,confidence-sdk-demos,TypeScript
45,confidence-sdk-flutter,Dart
46,confidence-sdk-go,Go
47,confidence-sdk-java,Java
48,confidence-sdk-js,TypeScript
49,confidence-sdk-python,Python
50,confidence-sdk-rust,Rust
51,confidence-sdk-swift,Swift
52,container-agent,Python
53,conversion-api-tag-template,Smarty
54,cookiecutter-golang,Go
55,coordinator,HTML
56,crtauth,Python
57,crtauth-java,Java
58,crtauth-java-agent-signer-apache,Java
59,crunch-lib,Java
60,cstar,Python
61,daemon-java,Java
62,dataenum,Java
63,DataflowJavaSDK,Java
64,dataproc-java-submitter,Java
65,dataprocxy,Python
66,dbeam,Java
67,debify,Shell
68,dh-virtualenv,Python
69,diffuser,Swift
70,dns-java,Java
71,docgenerator,Java
72,docker-alpine,
73,docker-bigtable,Go
74,docker-cassandra,Shell
75,docker-client,Java
76,docker-gc,Shell
77,docker-kafka,Shell
78,docker-maven-plugin,Java
79,docker-stress,Python
80,dockerfile-maven,Java
81,dockerfile-mode,Emacs Lisp
82,docker_interface,Python
83,drserv,Python
84,druid,
85,duck,Ruby
86,echoprint-codegen,C++
87,echoprint-server,Java
88,elasticsearch-index-window,Java
89,elitzur,Scala
90,eslint-config-oss,JavaScript
91,etcd,Go
92,featran,Scala
93,ffwd,Java
94,ffwd-client-java,Java
95,ffwd-http-client,Java
96,ffwd-ruby,Ruby
97,flink,Java
98,flink-docker,
99,flink-on-k8s-operator,Go
100,flo,Java
101,flume-syslog-source2,Java
102,flyte-flink-plugin,Go
103,fmt-maven-plugin,Java
104,folsom,Java
105,foss-root,
106,futures-extra,Java
107,futuristic-feline,Java
108,gcp-audit,Python
109,gcp-aws-iam-federation-webidentity,HCL
110,gcp-firewall-enforcer,Python
111,gcs-tools,Scala
112,ghelog,Python
113,gimme,Python
114,git-test,Shell
115,github-java-client,Java
116,google-http-java-client,Java
117,gordon,Python
118,gordon-gcp,Python
119,gordon-introspection,Python
120,gordon-janitor,Python
121,gordon-janitor-gcp,Python
122,griffin,Python
123,hadoop-openpgp-codec,Java
124,hdfs2cass,Java
125,helios,Java
126,helios-go,Go
127,helios-skydns,Java
128,heroic,Java
129,heroic-client-go,Go
130,heroic-client-java,Java
131,homebrew-public,Ruby
132,hornet,Scala
133,HubFramework,Objective-C
134,hush-tab,JavaScript
135,hype,Java
136,hyperflo,Scala
137,ieee-spm-vocals-tutorial,Jupyter Notebook
138,ios-auth,Objective-C
139,ios-ci,Shell
140,ios-sdk,Objective-C
141,ios-style,
142,java-hamcrest,Java
143,java-lkk,Java
144,java-locales,Java
145,jenkins-coverage-poster,Groovy
146,jira-lkk-bridge,Java
147,JniHelpers,C++
148,jsconfeu-2013,JavaScript
149,kafka,Scala
150,kairosdb,Java
151,kernel-common,
152,klio,Python
153,lemur,Python
154,lighthouse-audit-service,TypeScript
155,limbo,Scala
156,lingon,JavaScript
157,linux,C
158,logging-java,Java
159,luigi,Python
160,lyceum,Clojure
161,mace,
162,magnolify,Scala
163,metrics-munin-reporter,Java
164,missinglink,Java
165,mlockexec,Python
166,mobius,Java
167,mobius-android-sample,Java
168,Mobius.swift,Swift
169,moob,Ruby
170,netty-batch-flusher,Java
171,netty-zmtp,Java
172,noether,Scala
173,okta-sdk-python,Python
174,openfeature-kotlin-sdk,Kotlin
175,openfeature-swift-sdk,Swift
176,pedalboard,C++
177,PeqBank,C
178,perf-map-agent,C
179,phpconf-argentina-2014,JavaScript
180,platform-external-bluetooth-bluez,
181,polly-jest-presets,TypeScript
182,postgresql-metrics,Python
183,proto-registry,TypeScript
184,proto-requests,TypeScript
185,protoman,Java
186,puppet-talos,Puppet
187,pyeos,Python
188,pyfg,Python
189,pyschema,Python
190,python-graphwalker,Python
191,pythonflow,Python
192,pywk,Python
193,quickstart,JavaScript
194,ratatool,Scala
195,react-native-lookback,Objective-C
196,reactochart,JavaScript
197,realbook,Python
198,redux-location-state,JavaScript
199,requests-crtauth,Python
200,robolectric,Java
201,rspec-dns,Ruby
202,rspec-dnsruby,Ruby
203,ruler,Kotlin
204,s3mper,Java
205,scanctl,Python
206,scio,Scala
207,scio-contrib,Scala
208,scio-idea-plugin,Scala
209,scio.g8,Scala
210,sekexe,Shell
211,semantic-metrics,Java
212,should-up,JavaScript
213,shumway,Python
214,simple-bigtable,Java
215,skydns,
216,skygc,Python
217,snakebite,Python
218,soa-reference-integration,TypeScript
219,soundcheck-demo-environment,TypeScript
220,sourcekit-bazel-bsp,Swift
221,spark-bigquery,Scala
222,sparkey,C
223,sparkey-java,Java
224,sparkey-python,Python
225,spawn,Java
226,spotify-checkstyle-config,
227,spotify-heroic-datasource,TypeScript
228,spotify-js-challenge,JavaScript
229,spotify-json,C++
230,spotify-tensorflow,Python
231,spotify-web-api-ts-sdk,TypeScript
232,spotify-web-playback-sdk-example,JavaScript
233,spotify.github.io,HTML
